Time,ID,Grade,A,B,C,D,F,N
2020-03-09 18:38:18,000315,C,0.00,0.00,0.53,0.46,0.01,0.00
2020-03-09 18:38:39,000316,A,0.69,0.26,0.04,0.01,0.00,0.00
2020-03-09 18:38:49,000317,A,0.87,0.13,0.00,0.00,0.00,0.00
2020-03-09 18:41:52,000318,A,0.99,0.01,0.00,0.00,0.00,0.00
2020-03-09 18:43:35,000319,A,0.92,0.07,0.01,0.00,0.00,0.00
2020-03-09 18:44:45,000320,A,0.96,0.04,0.00,0.00,0.00,0.00
2020-03-09 18:45:06,000321,A,0.56,0.44,0.00,0.00,0.00,0.00
2020-03-09 18:46:09,000322,B,0.29,0.70,0.01,0.00,0.00,0.00
2020-03-09 18:46:12,000323,A,0.72,0.26,0.02,0.00,0.00,0.00
2020-03-09 18:49:22,000324,N,0.33,0.05,0.01,0.01,0.01,0.59
2020-03-09 18:50:15,000325,B,0.02,0.90,0.07,0.01,0.00,0.00
2020-03-09 18:50:46,000326,A,0.85,0.04,0.02,0.01,0.01,0.07
2020-03-09 18:53:44,000327,N,0.00,0.00,0.00,0.00,0.00,1.00
2020-03-09 18:55:53,000328,B,0.09,0.62,0.21,0.07,0.00,0.00
2020-03-09 18:57:57,000329,B,0.01,0.98,0.01,0.00,0.00,0.00
2020-03-09 18:59:17,000330,C,0.00,0.14,0.83,0.03,0.00,0.00
